index,Количество,rank,Частота,rank,Абсолютная стоимость,rank,Относительная стоимость,rank,total_score
JS,13,760,0.000709532297767592,731,570.9624796084829,680,51.78798000983971,633,2804
Функциональное тестирование,13,759,0.0012817460317460316,763,2871.1256117455137,796,405.90447707087185,797,3115
pandas,13,758,0.001440359477124183,768,244.69820554649266,495,27.188689505165847,532,2553
Numpy,13,757,0.0008660130718954247,747,0.0,243,0.0,190,1937
GraphQL,12,756,0.0010406162464985994,750,3107.667210440457,801,447.25394235997817,800,3107
Computer Vision,12,755,0.0007741596638655463,740,309.9510603588907,574,68.51549755301795,662,2731
Грамотная речь,12,754,0.0008655568287921229,746,126.4274061990212,395,19.612931929408273,462,2357
numpy,12,753,0.0013750000000000001,766,0.0,16,0.0,151,1686
Творческое мышление,11,752,0.0011569900687547748,754,159.05383360522023,411,10.407618482659265,384,2301
Backend,11,751,0.0008338067161596573,745,2610.1141924959215,791,343.6286388978069,791,3078
Design Patterns,11,750,0.0010980392156862745,753,3075.040783034258,800,524.4698205546492,807,3110
Tornado,11,749,0.0012583078686019863,761,440.71406199021203,632,40.06491472638291,593,2735
MS SQL Server,11,748,0.0010931372549019608,751,0.0,63,0.0,86,1648
NLP,11,747,0.0006568627450980393,723,0.0,272,0.0,263,2005
Мобильность,11,746,0.0008333333333333333,743,3564.437194127243,806,462.547580206634,802,3097
Spark,10,745,0.0011672096646145088,755,607.7572593800979,696,69.48764644816848,664,2860
Преподаватель,10,744,0.001956674044909339,785,209.62479608482872,481,174.58846210885363,758,2768
ORACLE,10,743,0.0007737447451069742,739,163.1321370309951,422,32.62642740619902,556,2460
k8s,10,742,0.0011974789915966387,756,835.779445350734,720,119.39706362153343,738,2956
Postgres,10,741,0.0008237840590781769,742,1598.694942903752,764,205.46881068903906,771,3018
SOAP,10,740,0.0007744738921209508,741,1508.9722675367047,763,187.7799787669282,766,3010
Clickhouse,10,739,0.0006297705562411445,720,1810.7667210440457,776,185.15085603176956,762,2997
Django Rest Framework,9,738,0.0007216704863763688,735,1276.5089722675366,749,130.58515709412933,744,2966
ClickHouse,9,737,0.0004507417676922321,682,1443.7194127243067,753,102.63926851889417,729,2901
Web,9,736,0.0007119155354449472,733,261.01141924959217,521,37.01844648011043,575,2565
PyTest,9,735,0.0007397504456327985,737,1272.4306688417619,747,141.3811854268624,746,2965
docker,8,734,0.0006586942469295411,724,130.50570962479608,398,26.10114192495922,520,2376
Django REST Framework,8,733,0.0005147058823529412,701,1941.2724306688417,783,210.03262642740617,772,2989
Deep Learning,8,732,0.0003026018099547511,637,163.1321370309951,448,12.548625925461161,389,2206
Postman,8,731,0.0007658942364824718,738,1231.647634584013,745,260.6035889070147,779,2993
Аналитическое мышление,8,730,0.0006911764705882352,727,0.0,18,0.0,177,1652
Data Mining,8,729,0.00035539215686274507,656,0.0,159,0.0,126,1670
DWH,8,728,0.000732194791792315,736,407.8303425774878,612,58.26147751106967,645,2721
Сетевые технологии,8,727,0.0005565104829810712,705,1876.0195758564437,779,211.16548849012142,773,2984
Qt,8,726,0.000638655462184874,722,831.973898858075,719,121.49460110308397,739,2906
Asyncio,8,725,0.0007034313725490195,729,195.75856443719414,476,24.469820554649267,510,2440
Математическое моделирование,8,724,0.0007058823529411764,730,65.25285481239804,364,9.321836401771147,380,2198
Teambuilding,8,723,0.0009411764705882353,749,0.0,252,0.0,179,1903
JSON,7,722,0.0005461891050126344,704,1162.31647634584,737,149.5405084312099,752,2915
Data Science,7,721,0.0002573529411764706,607,0.0,83,0.0,38,1449
Ajax,7,720,0.00043541752365281773,679,489.3964110929853,654,54.88883058214216,641,2694
CI,7,719,0.00047619047619047614,691,1272.4306688417619,748,141.3811854268624,747,2905
CSS3,7,718,0.000511096746390864,700,1149.0069331158238,735,128.6086374881236,742,2895
Kotlin,7,717,0.00047478991596638654,690,1876.0195758564437,780,155.36394002951914,754,2941
keras,7,716,0.0002573529411764706,604,0.0,318,0.0,267,1905
MS PowerPoint,7,715,0.0006990068754774638,728,464.92659053833603,647,47.604923624499484,623,2713
Ansible,7,714,0.00046848739495798316,688,1296.900489396411,750,94.0437349491183,715,2867
Oracle Pl/SQL,7,713,0.0006271315543761363,719,611.7455138662317,697,92.7652191926254,712,2841
tensorflow,7,712,0.0002573529411764706,605,0.0,142,0.0,157,1616
Информационная безопасность,7,711,0.0007205882352941177,734,407.8303425774878,598,45.67699836867863,618,2661
opencv,7,710,0.0002573529411764706,606,0.0,176,0.0,8,1500
backend,7,709,0.0005733378821614116,707,599.510603588907,691,38.470833740001765,585,2692
Vue.js,6,708,0.00037368024132730014,659,110.1141924959217,386,8.470322499686285,372,2125
SCALA,6,707,0.0007110726643598616,732,130.50570962479608,399,26.10114192495922,519,2357
Airflow,6,706,0.00042112299465240635,674,0.0,247,0.0,218,1845
Торговая площадка,6,705,0.0004341736694677871,676,0.0,276,0.0,193,1850
Управление проектами,6,704,0.0005443722943722944,703,938.0097879282218,728,147.5957430280432,751,2886
Разработка технических заданий,6,703,0.0006176470588235294,717,481.23980424143554,652,84.01305057096248,698,2770
Kanban,6,702,0.00047794117647058826,692,709.6247960848287,707,80.8863512778684,687,2788
Analytical skills,6,701,0.00020431390024815632,559,1761.8270799347472,769,101.99029930821506,727,2756
Организация учебного процесса,6,700,0.000536541889483066,702,126.4274061990212,396,19.612931929408273,461,2259
Android SDK,6,699,0.0004789915966386555,693,1223.4910277324634,744,87.3922162666045,700,2836
AngularJS,6,698,0.00038531566472742936,665,554.6492659053833,677,71.19851328660464,672,2712
Risk management,6,697,0.00020431390024815632,560,1761.8270799347472,770,101.99029930821506,726,2753
TeamCity,6,696,0.0005998707175177764,715,293.6378466557912,559,22.587526665830094,489,2459
Pyramid,6,695,0.00045788770053475935,685,766.9783360522023,712,94.4422937367146,716,2808
TypeScript,6,694,0.00040842490842490844,671,1492.6590538336052,762,176.8310536662902,759,2886
MS Excel,6,693,0.00021279806314408392,566,1631.3213703099511,765,96.18655981768929,720,2744
Hadoop,6,692,0.0006587850826605152,725,0.0,312,0.0,231,1960
MATLAB,6,691,0.0006190476190476191,718,309.9510603588907,576,44.27872290841295,615,2600
Web Application Development,6,690,0.0004173669467787115,673,244.69820554649266,511,34.95688650664181,562,2436
Инвестиционные риски,6,689,0.00020431390024815632,558,1761.8270799347472,771,101.99029930821506,728,2746
Обучение,6,688,0.00038244435303258836,664,36.7047308319739,352,1.6683968559988136,354,2058
Алгоритмы,6,687,0.0008333333333333333,744,440.4567699836868,628,63.893420337139744,652,2711
Разработка ПО,6,686,0.0004985635279752927,696,570.9624796084829,684,68.9815893731065,663,2729
KVM,6,685,0.0006319073083778966,721,2039.1517128874389,784,406.47090810222943,798,2988
Robot framework,6,684,0.0008823529411764706,748,0.0,46,0.0,164,1642
Ценные бумаги,5,683,0.00017757593233371782,522,1468.189233278956,758,88.64312446022456,704,2667
Gitlab,5,682,0.00038581842993607704,666,0.0,156,0.0,130,1634
Agile,5,681,0.00045788770053475935,684,407.8303425774878,614,37.07548568886253,577,2556
Ubuntu,5,680,0.00045320855614973263,683,334.42088091354,584,66.88417618270799,655,2602
Машинное обучение,5,679,0.00039915966386554625,670,489.3964110929853,658,61.174551386623165,648,2655
Unix Shell Scripts,5,678,0.0002628090863384981,610,493.4747145187602,667,43.181849870267484,609,2564
Разработка логистики,5,677,0.00046218487394957984,686,0.0,14,0.0,149,1526
C#,5,676,0.00022836912542794895,575,991.0277324632953,730,67.30279568778752,656,2637
Angular,5,675,0.00048319327731092437,694,440.4567699836868,625,96.13143789326497,719,2713
Investment Analysis,5,674,0.00017757593233371782,520,1468.189233278956,755,88.64312446022456,706,2655
Публичные выступления,5,673,0.00043417366946778713,677,0.0,245,0.0,220,1815
Data Analysis,5,672,0.0002288237041697249,576,1174.5513866231647,739,65.28556847624115,654,2641
MS Visual Studio,5,671,0.0005840336134453781,708,456.7699836867863,645,91.35399673735726,710,2734
Microservices,5,670,0.0003510737628384687,649,407.8303425774878,617,58.26147751106967,644,2580
Умение работать в условиях многозадачности,5,669,0.0002805429864253394,621,163.1321370309951,431,12.548625925461161,401,2122
Bootstrap,5,668,0.000286830816242581,623,595.4323001631321,690,68.17244745466606,661,2642
DRF,5,667,0.0003454715219421101,646,929.8531810766721,727,93.67150884279758,713,2753
Financial Analysis,5,666,0.00016754919436580336,507,1468.189233278956,760,83.63793389222812,697,2630
Capital Market,5,665,0.00017757593233371782,521,1468.189233278956,757,88.64312446022456,707,2650
Elasticsearch,5,664,0.000434640522875817,678,301.79445350734096,568,16.766358528185606,451,2361
IoT,5,663,0.000496732026143791,695,0.33442088091353994,342,0.05573681348558999,342,2042
Investment Banking,5,662,0.00017757593233371782,519,1468.189233278956,759,88.64312446022456,703,2643
Ориентация на результат,5,661,0.0006029411764705882,716,326.2642740619902,583,40.783034257748774,595,2555
Парсинг,5,660,0.0005060331825037708,698,261.01141924959217,520,37.01844648011043,574,2452
ORM,5,659,0.00032226678550207965,640,538.3360522022839,674,53.01794453507341,635,2608
OpenStack,5,658,0.0003061698363555949,638,823.8172920065252,718,47.70541770412982,624,2638
Docker-compose,5,657,0.0003940454969866734,668,742.2512234910278,710,90.53039130526895,709,2744
Инвестиционный консалтинг,5,656,0.00017757593233371782,518,1468.189233278956,756,88.64312446022456,705,2635
Teamplayer,5,655,0.000588235294117647,712,0.0,33,0.0,49,1449
React.js,5,654,0.0004435107376283847,681,448.6133768352365,642,49.845930759470725,629,2606
Terraform,4,653,0.00033613445378151256,645,1011.4192495921696,732,144.4884642274528,750,2780
FastApi,4,652,0.00039869281045751634,669,897.226753670473,726,163.1321370309951,755,2802
Автоматизация тестирования,4,651,0.000261437908496732,608,1680.2610114192496,766,186.69566793547216,764,2789
разработка логистики,4,650,0.0004313725490196079,675,0.0,8,0.0,152,1485
Администрирование,4,649,0.0003823529411764706,662,163.1321370309951,443,16.31321370309951,437,2191
GitLab,4,648,0.0001914098972922502,527,1370.3099510603588,751,103.70542996970403,730,2656
PyTorch,4,647,0.00021751777634130572,573,652.5285481239804,703,53.331660183209934,636,2559
VueJS,4,646,0.0003306595365418895,641,171.28874388254485,451,34.257748776508976,557,2295
SaaS,4,645,0.000273109243697479,616,815.6606851549756,715,81.56606851549755,691,2667
crypto market,4,644,0.00014081122645136487,456,1174.5513866231647,738,70.2907590442376,667,2505
NumPy,4,643,0.00024132730015082957,595,0.0,85,0.0,296,1619
DevOps,4,642,0.00037409700722394214,660,636.2153344208809,702,106.03588907014682,732,2736
Паттерны проектирования,4,641,0.000392156862745098,667,261.01141924959217,524,43.50190320826536,612,2444
Grafana,4,640,0.00020329996800585036,556,407.8303425774878,613,37.07548568886253,582,2391
celery,4,639,0.00031818181818181815,639,0.0,43,0.0,169,1490
Грамотность,4,638,0.0005,697,375.20391517128877,591,81.56606851549755,693,2619
ReactJS,4,637,0.0003645765998707175,658,407.8303425774878,602,31.371564813652906,552,2449
Грамотная письменная речь,4,636,0.00023529411764705883,579,0.0,204,0.0,312,1731
Project management,4,635,0.0004369747899159664,680,0.0,236,0.0,206,1757
pytest,4,634,0.00028711484593837533,624,0.0,96,0.0,302,1656
Оптимизация кода,4,633,0.0005098039215686275,699,236.5415986949429,492,59.135399673735726,647,2471
Test case,4,632,0.0003487394957983193,648,203.9151712887439,479,40.783034257748774,602,2361
it,4,631,0.0004117647058823529,672,0.0,32,0.0,48,1383
Java Script,4,630,0.000196078431372549,536,0.0,88,0.0,22,1276
Tableau,4,629,0.00024949723479135243,601,163.1321370309951,421,12.548625925461161,394,2045
PyCharm,4,628,0.00033613445378151256,644,0.0,195,0.0,59,1526
fiat market,4,627,0.00014081122645136487,455,1174.5513866231647,740,70.2907590442376,666,2488
Нагрузочное тестирование,4,626,0.000261437908496732,609,1680.2610114192496,767,186.69566793547216,763,2765
Redux,4,625,0.00020915032679738566,563,856.4437194127244,722,72.9563168388617,678,2588
Информационные технологии,4,624,0.0004663865546218488,687,0.0,229,0.0,330,1870
Falcon,4,623,0.0003529411764705883,653,277.3246329526917,531,27.732463295269167,543,2350
Cистемы управления базами данных,4,622,0.000267156862745098,614,81.56606851549755,376,16.31321370309951,430,2042
Разработка поисковых технологий,4,621,0.0005938375350140056,714,0.0,112,0.0,40,1487
Async,4,620,0.00037438052143934494,661,0.0,182,0.0,11,1474
микросервисы,4,619,0.0002941176470588235,634,0.0,113,0.0,41,1407
Jira,4,618,0.0002756410256410256,618,587.2756933115824,688,81.31509599698833,688,2612
WIndows Phone,4,617,0.00047058823529411766,689,218.59706362153344,486,43.719412724306686,613,2405
1C: Предприятие,4,616,0.0003006535947712418,636,407.8303425774878,618,43.50190320826536,611,2481
UX,3,615,0.00012605042016806722,442,1223.4910277324634,742,87.3922162666045,701,2500
Асинхронное программирование,3,614,0.0006617647058823529,726,542.4143556280587,675,118.27079934747145,736,2751
ElasticSearch,3,613,0.00022502334267040147,574,358.8907014681892,590,47.5931536290427,622,2399
Databases,3,612,0.00020053475935828877,552,0.0,134,0.0,148,1446
BigData,3,611,0.00028011204481792715,620,0.0,119,0.0,23,1373
Matplotlib,3,610,0.0001923076923076923,528,0.0,115,0.0,94,1347
1С программирование,3,609,0.00019362745098039214,530,0.0,178,0.0,127,1444
XML/Xslt,3,608,0.000172311348781937,515,106.03588907014682,385,11.781765452238535,386,1894
Опыт работы с детьми,3,607,0.0001210064445358563,436,36.7047308319739,357,1.6683968559988136,344,1744
TFS,3,606,0.0001895424836601307,524,146.8189233278956,406,16.31321370309951,439,1975
Blockchain,3,605,0.00021033868092691622,564,603.5889070146819,695,82.06040832468238,695,2559
Создание конфигурации 1С,3,604,0.00019362745098039214,532,0.0,120,0.0,10,1266
Citrix,3,603,0.0001990269792127377,551,383.3605220228385,592,20.176869580149393,467,2213
1С: Управление предприятием,3,602,0.00014133986928104573,457,244.69820554649266,519,27.188689505165847,525,2103
Jupiter,3,601,0.0003529411764705883,654,0.0,198,0.0,141,1594
Интернет-реклама,3,600,0.0003333333333333333,643,212.07177814029365,485,42.41435562805873,605,2333
test automation,3,599,0.0005637254901960783,706,0.0,100,0.0,67,1472
Aiohttp,3,598,0.00021650326797385624,572,301.79445350734096,565,16.766358528185606,452,2187
SciPy,3,597,0.00017830209006679593,523,154.97553017944534,410,22.139361454206476,479,2009
Adobe Photoshop,3,596,0.00011723570547099961,374,199.836867862969,477,14.217022781459976,421,1868
VMware,3,595,0.00015514275885792912,503,530.1794453507341,672,36.49008328324891,573,2343
SQLite,3,594,0.00019841269841269839,550,138.66231647634584,401,19.80890235376369,463,2008
ELK,3,593,0.0002679738562091503,615,285.48123980424145,540,15.860068878013411,423,2171
Zabbix,3,592,0.0002369281045751634,594,0.0,197,0.0,333,1716
STL,3,591,0.00024183006535947712,596,342.5774877650897,585,34.801522566612284,560,2332
Sanic,3,590,0.00015151515151515152,500,0.0,275,0.0,208,1573
CRM,3,589,0.0002941176470588235,625,489.3964110929853,655,54.377379010331694,639,2508
Mac Os,3,588,0.0002843137254901961,622,0.0,262,0.0,47,1519
WebSocket,3,587,0.00014497920380273323,460,873.8163947797715,724,70.98603580668018,670,2441
Деловое общение,3,586,0.00017401960784313726,517,0.0,288,0.0,340,1731
Ведение переговоров,3,585,0.00019362745098039214,531,0.0,289,0.0,327,1732
HTML/CSS,3,584,0.0002457836281365693,600,163.1321370309951,430,12.548625925461161,402,2016
Time management,3,583,0.0003529411764705883,651,0.0,298,0.0,57,1589
SVN,3,582,0.0003487394957983193,647,195.75856443719414,475,48.939641109298535,627,2331
Автоматизация,3,581,0.0002446524064171123,597,0.0,211,0.0,181,1570
Работа с детьми,3,580,0.0001210064445358563,435,36.7047308319739,356,1.6683968559988136,349,1720
Teamleading,3,579,0.00035364145658263305,655,0.0,315,0.0,204,1753
react,3,578,0.00020588235294117645,561,766.721044045677,711,100.59815116911365,725,2575
Doker,3,577,0.0003529411764705883,652,0.0,172,0.0,101,1502
Yii,3,576,0.0002038593215063803,557,411.9086460032626,620,38.560466782326486,586,2339
Mercurial,3,575,0.0003823529411764706,663,114.19249592169658,387,22.838499184339316,493,2118
Математический анализ,3,574,0.00025210084033613445,603,65.25285481239804,369,9.321836401771147,379,1925
Tensorflow,3,573,0.00020588235294117645,562,668.84176182708,705,76.6721044045677,683,2523
Selenium WebDriver,3,572,0.00023109243697478992,577,0.0,200,0.0,216,1565
golang,3,571,0.00019335511982570804,529,1007.3409461663948,731,143.0427164521781,749,2580
Английский — B2 — Средне-продвинутый,3,570,0.00029820261437908495,635,897.226753670473,725,199.3837230378829,770,2700
Statistica,3,569,0.0003333333333333333,642,0.0,231,0.0,209,1651
Selenium IDE,3,568,0.00035947712418300657,657,285.48123980424145,533,71.37030995106036,674,2432
Управление командой,3,567,0.00027521008403361347,617,587.2756933115824,689,75.15730598927989,680,2553
Xcode,3,566,0.00012605042016806722,441,1223.4910277324634,743,87.3922162666045,702,2452
kubernetes,3,565,0.00016408428173134056,505,407.8303425774878,607,37.07548568886253,580,2257
OpenCV,3,564,0.0002670401493930906,613,228.38499184339315,490,41.32680804785209,603,2270
Plotly by Dash,3,563,0.0003529411764705883,650,0.0,15,0.0,150,1378
Swagger,3,562,0.00011400364341540811,373,407.8303425774878,615,29.130738755534836,545,2095
Pl/Python,3,561,0.00025054466230936816,602,477.1615008156607,650,22.95933780436227,494,2307
Веб-программирование,3,560,0.0002760577915376677,619,799.347471451876,714,81.35142096677255,689,2582
Citrix Systems,2,559,0.00016806722689075628,508,0.0,296,0.0,223,1586
Rally,2,558,7.352941176470588e-05,252,440.4567699836868,630,27.528548123980425,535,1975
Битрикс24,2,557,0.00011764705882352942,422,163.1321370309951,446,16.31321370309951,438,1863
Пользователь ПК,2,556,9.209744503862151e-05,315,36.7047308319739,350,1.6683968559988136,350,1571
Технический перевод,2,555,0.00023529411764705883,581,0.0,138,0.0,174,1448
Frontend,2,554,0.0001292824822236587,444,538.3360522022839,673,50.015237617195204,630,2301
Camunda,2,553,0.00014705882352941175,482,0.0,281,0.0,228,1544
Rabbit,2,552,0.00014705882352941175,462,603.5889070146819,692,75.44861337683524,681,2387
InfluxDB,2,551,0.00010407239819004526,367,0.0,224,0.0,334,1476
Педагогика,2,550,9.426847662141779e-05,317,0.0,143,0.0,156,1166
OpenGL,2,549,0.00013750954927425516,453,154.97553017944534,408,22.139361454206476,478,1888
Отличное знание ПК,2,548,0.00011764705882352942,428,163.1321370309951,450,16.31321370309951,434,1860
Elastic Search,2,547,8.807801195344447e-05,313,440.71406199021203,631,40.06491472638291,591,2082
TestRail,2,546,0.00023529411764705883,591,652.5285481239804,704,130.50570962479608,743,2584
инженер,2,545,0.00010784313725490197,369,440.4567699836868,626,40.783034257748774,596,2136
SOLID,2,544,0.00010407239819004526,366,203.9151712887439,480,20.391517128874387,468,1858
TDD,2,543,0.0002941176470588235,629,0.0,217,0.0,321,1710
Team management,2,542,0.00023529411764705883,584,0.0,329,0.0,260,1715
Умение работать с детьми,2,541,7.198683669271905e-05,240,36.7047308319739,354,1.6683968559988136,351,1486
Word2Vec,2,540,0.000130718954248366,449,0.0,206,0.0,244,1439
QGIS,2,539,0.00014939309056956115,499,0.0,256,0.0,196,1490
Vue,2,538,0.00011274509803921568,372,0.0,127,0.0,136,1173
Cisco,2,537,0.00014705882352941175,468,0.0,240,0.0,212,1457
Networking,2,536,0.00017156862745098037,514,636.2153344208809,700,98.21914083741163,723,2473
Hive,2,535,0.0001388888888888889,454,0.0,258,0.0,210,1457
Безопасность,2,534,0.000196078431372549,540,163.1321370309951,438,27.188689505165847,530,2042
Креативность,2,533,0.00023529411764705883,586,530.1794453507341,671,106.03588907014682,733,2523
Machine learning,2,532,0.00023529411764705883,589,0.0,267,0.0,199,1587
Знание английского языка,2,531,0.0002647058823529412,612,0.0,263,0.0,264,1670
Mathcad,2,530,0.00021568627450980395,569,0.0,132,0.0,171,1402
Управление временем,2,529,0.00023529411764705883,585,0.0,133,0.0,167,1414
Тестирование пользовательского интерфейса,2,528,0.00021568627450980395,571,473.0831973898858,649,89.7226753670473,708,2456
Arduino,2,527,6.703536115300821e-05,239,191.68026101141925,464,7.09926892634886,368,1598
Aerospike,2,526,0.0002941176470588235,632,391.5171288743883,596,97.87928221859707,721,2475
С,2,525,0.0001911764705882353,526,187.60195758564439,455,23.450244698205548,498,2004
Cloud technologies,2,524,0.00014705882352941175,471,0.0,316,0.0,273,1584
Python3,2,523,0.0001323529411764706,450,456.7699836867863,646,50.36704730831974,631,2250
fastapi,2,522,0.00014285714285714287,458,579.1190864600326,686,71.19552551852715,671,2337
React/Redux,2,521,0.0002647058823529412,611,0.0,51,0.0,14,1197
DAX,2,520,0.00023529411764705883,592,358.8907014681892,588,71.77814029363785,675,2375
Spring Framework,2,519,9.269162210338681e-05,316,0.0,92,0.0,4,931
MSSQL,2,518,0.00010084033613445378,365,0.0,90,0.0,2,975
aio-http,2,517,0.00014705882352941175,481,603.5889070146819,694,75.44861337683524,682,2374
JSON API,2,516,8.823529411764705e-05,314,0.0,76,0.0,29,935
algorithms,2,515,0.000588235294117647,709,456.7699836867863,644,228.38499184339315,775,2643
Perl,2,514,0.00023529411764705883,583,0.0,160,0.0,128,1385
Бизнес-анализ,2,513,0.00016666666666666666,506,0.0,23,0.0,135,1177
