Количество,rank,Частота,rank,Абсолютная стоимость,rank,Относительная стоимость,rank,total_score
4,623,0.0003529411764705883,653,277.3246329526917,531,27.732463295269167,543,2350
4,622,0.000267156862745098,614,81.56606851549755,376,16.31321370309951,430,2042
4,621,0.0005938375350140056,714,0.0,112,0.0,40,1487
4,620,0.00037438052143934494,661,0.0,182,0.0,11,1474
4,619,0.0002941176470588235,634,0.0,113,0.0,41,1407
4,618,0.0002756410256410256,618,587.2756933115824,688,81.31509599698833,688,2612
4,617,0.00047058823529411766,689,218.59706362153344,486,43.719412724306686,613,2405
4,616,0.0003006535947712418,636,407.8303425774878,618,43.50190320826536,611,2481
3,615,0.00012605042016806722,442,1223.4910277324634,742,87.3922162666045,701,2500
3,614,0.0006617647058823529,726,542.4143556280587,675,118.27079934747145,736,2751
3,613,0.00022502334267040147,574,358.8907014681892,590,47.5931536290427,622,2399
3,612,0.00020053475935828877,552,0.0,134,0.0,148,1446
3,611,0.00028011204481792715,620,0.0,119,0.0,23,1373
3,610,0.0001923076923076923,528,0.0,115,0.0,94,1347
3,609,0.00019362745098039214,530,0.0,178,0.0,127,1444
3,608,0.000172311348781937,515,106.03588907014682,385,11.781765452238535,386,1894
3,607,0.0001210064445358563,436,36.7047308319739,357,1.6683968559988136,344,1744
3,606,0.0001895424836601307,524,146.8189233278956,406,16.31321370309951,439,1975
3,605,0.00021033868092691622,564,603.5889070146819,695,82.06040832468238,695,2559
3,604,0.00019362745098039214,532,0.0,120,0.0,10,1266
3,603,0.0001990269792127377,551,383.3605220228385,592,20.176869580149393,467,2213
3,602,0.00014133986928104573,457,244.69820554649266,519,27.188689505165847,525,2103
3,601,0.0003529411764705883,654,0.0,198,0.0,141,1594
3,600,0.0003333333333333333,643,212.07177814029365,485,42.41435562805873,605,2333
3,599,0.0005637254901960783,706,0.0,100,0.0,67,1472
3,598,0.00021650326797385624,572,301.79445350734096,565,16.766358528185606,452,2187
3,597,0.00017830209006679593,523,154.97553017944534,410,22.139361454206476,479,2009
3,596,0.00011723570547099961,374,199.836867862969,477,14.217022781459976,421,1868
3,595,0.00015514275885792912,503,530.1794453507341,672,36.49008328324891,573,2343
3,594,0.00019841269841269839,550,138.66231647634584,401,19.80890235376369,463,2008
3,593,0.0002679738562091503,615,285.48123980424145,540,15.860068878013411,423,2171
3,592,0.0002369281045751634,594,0.0,197,0.0,333,1716
3,591,0.00024183006535947712,596,342.5774877650897,585,34.801522566612284,560,2332
3,590,0.00015151515151515152,500,0.0,275,0.0,208,1573
3,589,0.0002941176470588235,625,489.3964110929853,655,54.377379010331694,639,2508
3,588,0.0002843137254901961,622,0.0,262,0.0,47,1519
3,587,0.00014497920380273323,460,873.8163947797715,724,70.98603580668018,670,2441
3,586,0.00017401960784313726,517,0.0,288,0.0,340,1731
3,585,0.00019362745098039214,531,0.0,289,0.0,327,1732
3,584,0.0002457836281365693,600,163.1321370309951,430,12.548625925461161,402,2016
3,583,0.0003529411764705883,651,0.0,298,0.0,57,1589
3,582,0.0003487394957983193,647,195.75856443719414,475,48.939641109298535,627,2331
3,581,0.0002446524064171123,597,0.0,211,0.0,181,1570
3,580,0.0001210064445358563,435,36.7047308319739,356,1.6683968559988136,349,1720
3,579,0.00035364145658263305,655,0.0,315,0.0,204,1753
3,578,0.00020588235294117645,561,766.721044045677,711,100.59815116911365,725,2575
3,577,0.0003529411764705883,652,0.0,172,0.0,101,1502
3,576,0.0002038593215063803,557,411.9086460032626,620,38.560466782326486,586,2339
3,575,0.0003823529411764706,663,114.19249592169658,387,22.838499184339316,493,2118
3,574,0.00025210084033613445,603,65.25285481239804,369,9.321836401771147,379,1925
3,573,0.00020588235294117645,562,668.84176182708,705,76.6721044045677,683,2523
3,572,0.00023109243697478992,577,0.0,200,0.0,216,1565
3,571,0.00019335511982570804,529,1007.3409461663948,731,143.0427164521781,749,2580
3,570,0.00029820261437908495,635,897.226753670473,725,199.3837230378829,770,2700
3,569,0.0003333333333333333,642,0.0,231,0.0,209,1651
3,568,0.00035947712418300657,657,285.48123980424145,533,71.37030995106036,674,2432
3,567,0.00027521008403361347,617,587.2756933115824,689,75.15730598927989,680,2553
3,566,0.00012605042016806722,441,1223.4910277324634,743,87.3922162666045,702,2452
3,565,0.00016408428173134056,505,407.8303425774878,607,37.07548568886253,580,2257
3,564,0.0002670401493930906,613,228.38499184339315,490,41.32680804785209,603,2270
3,563,0.0003529411764705883,650,0.0,15,0.0,150,1378
3,562,0.00011400364341540811,373,407.8303425774878,615,29.130738755534836,545,2095
3,561,0.00025054466230936816,602,477.1615008156607,650,22.95933780436227,494,2307
3,560,0.0002760577915376677,619,799.347471451876,714,81.35142096677255,689,2582
2,559,0.00016806722689075628,508,0.0,296,0.0,223,1586
2,558,7.352941176470588e-05,252,440.4567699836868,630,27.528548123980425,535,1975
2,557,0.00011764705882352942,422,163.1321370309951,446,16.31321370309951,438,1863
2,556,9.209744503862151e-05,315,36.7047308319739,350,1.6683968559988136,350,1571
2,555,0.00023529411764705883,581,0.0,138,0.0,174,1448
2,554,0.0001292824822236587,444,538.3360522022839,673,50.015237617195204,630,2301
2,553,0.00014705882352941175,482,0.0,281,0.0,228,1544
2,552,0.00014705882352941175,462,603.5889070146819,692,75.44861337683524,681,2387
2,551,0.00010407239819004526,367,0.0,224,0.0,334,1476
2,550,9.426847662141779e-05,317,0.0,143,0.0,156,1166
2,549,0.00013750954927425516,453,154.97553017944534,408,22.139361454206476,478,1888
2,548,0.00011764705882352942,428,163.1321370309951,450,16.31321370309951,434,1860
2,547,8.807801195344447e-05,313,440.71406199021203,631,40.06491472638291,591,2082
2,546,0.00023529411764705883,591,652.5285481239804,704,130.50570962479608,743,2584
2,545,0.00010784313725490197,369,440.4567699836868,626,40.783034257748774,596,2136
2,544,0.00010407239819004526,366,203.9151712887439,480,20.391517128874387,468,1858
2,543,0.0002941176470588235,629,0.0,217,0.0,321,1710
2,542,0.00023529411764705883,584,0.0,329,0.0,260,1715
2,541,7.198683669271905e-05,240,36.7047308319739,354,1.6683968559988136,351,1486
2,540,0.000130718954248366,449,0.0,206,0.0,244,1439
2,539,0.00014939309056956115,499,0.0,256,0.0,196,1490
2,538,0.00011274509803921568,372,0.0,127,0.0,136,1173
