,product_10,product_11,product_12,product_13,product_14,product_15,product_16,product_17,product_18,product_19,product_20,product_21,product_22,product_23,product_24,product_25,product_26,product_27,product_28,product_29,product_30,product_31,product_32,product_33,product_34,product_35,product_36,product_37,product_38,product_39
2016-02-11,2412.2,3901.8,4327.8,1608.8,938.4,1319.4,1577.1,852.26,3135.0,512.13,1911.2,700.63,2193.3,2023.6,368.09,324.6,2990.1,1592.7,1688.3,338.01,2224.1,1965.3,2324.4,3622.7,973.81,528.5,2416.1,2079.5,2464.1,2421.8
2016-02-12,2346.7,4099.1,4242.6,1476.6,897.46,1314.8,1614.2,795.53,2991.8,477.89,1961.8,705.08,2166.3,2265.5,390.35,342.73,2950.3,1451.0,1784.5,352.98,2246.4,1959.8,2200.4,3837.2,1061.0,533.5,2614.7,2031.9,2281.9,2314.8
2016-02-13,2214.4,3891.1,4058.1,1441.0,966.17,1281.1,1971.5,744.32,3113.2,474.62,1870.0,661.8,2327.8,2076.1,391.65,346.93,2897.3,1355.9,1699.4,341.78,2209.4,1917.8,2239.6,3833.0,960.58,577.68,2605.4,1993.9,1864.6,2419.8
2016-02-14,2498.3,3985.2,3968.3,1579.2,951.69,1391.7,2118.1,811.71,3134.0,492.93,1914.8,663.06,2388.5,2304.7,379.15,332.85,2844.2,1454.5,1768.3,347.23,2189.3,1982.5,2254.2,3972.3,945.96,588.01,2296.9,1994.0,1888.6,2279.9
2016-02-15,2443.9,3854.8,4179.9,1490.8,936.55,1409.9,2085.9,789.25,3133.6,481.3,2006.5,663.13,2276.2,2145.0,384.53,321.37,2780.9,1375.4,1745.4,327.99,2129.5,1879.3,2436.3,4097.6,1120.8,603.2,2351.4,2003.0,1618.0,2393.7
2016-02-16,2456.5,3864.9,4110.0,1438.0,940.68,1490.8,2272.6,782.89,3116.8,430.97,2140.2,652.29,2408.9,2188.8,359.54,305.7,2693.5,1467.8,1788.3,326.19,2135.1,1822.8,2431.1,4184.2,1151.0,607.46,2624.7,1986.9,1679.3,2385.3
2016-02-17,2500.1,3986.6,4102.5,1440.6,952.3,1350.2,2115.9,781.64,3393.5,447.91,2065.5,694.49,2192.7,2116.2,366.59,304.42,2672.6,1500.2,1783.8,319.68,2308.8,1744.1,2606.5,4323.6,1143.3,654.0,2380.5,2039.1,1841.1,2296.6
2016-02-18,2240.2,3732.9,4197.6,1709.1,944.38,1485.2,1861.9,858.19,3267.3,447.14,2027.1,423.01,2339.7,2251.2,407.93,291.62,2513.7,1346.7,1701.6,336.41,2373.3,1900.1,2468.8,3654.9,1064.9,586.77,2332.7,2116.8,1791.8,2290.4
2016-02-19,2476.7,3591.7,4069.7,1607.8,953.96,1309.8,1568.5,435.61,3047.4,446.91,2131.6,409.3,2193.9,2130.7,416.45,297.38,2762.4,1323.7,1981.2,319.27,2244.7,1955.5,2679.2,3706.5,1086.3,606.64,2409.3,2078.8,1554.4,2300.2
2016-02-20,2434.7,3710.7,4028.0,1478.4,973.04,1421.8,1782.2,749.42,3207.6,428.01,2030.3,372.6,2190.5,2247.8,416.22,266.18,2782.6,1449.6,1712.2,319.95,2196.6,1880.2,2456.3,3565.2,1067.3,605.91,2257.9,2030.1,2050.8,2503.1
2016-02-21,2357.8,3787.0,4136.1,1555.2,916.05,1433.5,1982.1,826.78,3118.4,458.79,2233.7,309.76,2304.1,2108.0,426.85,275.27,2759.0,1507.5,1766.2,315.25,2256.0,2071.6,2553.9,3754.3,1087.5,621.45,2432.1,1834.6,1854.8,2576.8
2016-02-22,2363.8,3544.8,4179.9,1566.6,929.69,1492.4,2185.6,840.04,2959.1,436.25,2282.7,350.32,2353.0,2064.7,411.43,260.31,2851.6,1421.6,1845.2,321.9,2448.2,2057.1,2554.6,3596.0,1119.1,604.93,2326.2,1815.1,1903.1,2645.6
2016-02-23,2217.6,3759.8,4090.8,1498.8,900.29,1536.8,1868.4,422.21,3022.5,434.05,2202.4,385.12,2198.1,1939.9,450.53,275.49,2836.5,1227.1,1869.8,310.24,2256.4,1987.3,2519.7,3506.1,1031.0,620.99,2445.1,1992.8,1916.3,2668.1
2016-02-24,2448.6,3998.5,4222.6,1676.0,869.36,1354.9,1675.8,806.57,3134.8,437.98,2024.7,340.99,2331.7,1857.5,434.97,271.18,2771.2,1235.5,1790.4,339.92,2262.2,2022.4,2588.3,3241.2,1112.4,640.02,2486.6,1990.5,1973.1,2638.6
2016-02-25,2451.4,4126.3,4026.1,1621.4,865.04,1585.5,1759.3,870.52,3072.9,413.26,2183.6,318.84,2363.3,1916.0,355.73,269.21,2838.6,1252.7,1733.7,333.13,2277.4,2109.1,2129.5,3267.3,1120.5,615.65,2378.0,1996.3,1880.1,2764.3
2016-02-26,2420.1,4347.1,4104.8,1652.7,891.14,1534.2,1735.4,899.19,3246.4,432.85,1966.0,357.07,2235.7,1906.0,379.49,251.77,2767.4,1287.1,1759.4,343.22,2212.6,1996.9,2309.9,3421.9,1119.0,616.25,2273.6,1996.2,1617.6,2506.8
2016-02-27,2158.3,4035.3,4080.5,1598.5,907.58,1526.8,1765.5,914.85,3136.6,420.58,1959.4,374.71,2248.6,2103.8,398.43,276.68,2845.7,1241.1,1730.3,369.99,2114.6,1948.1,2477.9,3562.7,1153.7,619.23,2535.9,2022.2,1924.0,2578.8
2016-02-28,2256.4,3943.1,3969.6,1596.7,920.69,1556.7,1717.8,878.35,3259.4,419.63,2099.3,364.41,2236.4,2119.1,392.68,281.13,2775.8,1275.2,1687.8,357.69,2203.5,2117.7,2504.7,3504.7,1121.2,639.92,2364.9,1929.2,1929.5,2413.3
2016-02-29,2404.0,3891.7,3938.8,1584.0,927.08,1538.6,1649.3,849.69,3101.7,399.99,2044.2,284.18,2300.8,2029.0,402.48,282.39,2859.0,1214.1,1721.6,364.08,2230.3,2113.5,2287.3,3334.7,1159.1,663.28,2474.8,2137.3,2212.1,2415.2
2016-03-01,2187.4,3671.1,4019.4,1682.9,891.88,1548.8,1676.5,813.56,2980.5,423.88,2240.0,411.64,2271.3,1985.5,399.16,268.84,2848.0,1299.9,1685.3,358.05,2086.1,1968.2,2289.0,3499.1,1130.3,615.35,2309.1,1982.0,2157.7,2666.2
2016-03-02,2327.6,4030.8,4190.1,1616.6,911.06,1567.6,1738.8,510.75,2991.5,410.98,2144.7,351.62,2152.1,1940.9,406.47,297.34,2930.2,1194.0,1716.8,348.56,2138.2,1938.7,2362.0,3649.2,1112.4,629.79,2279.0,1997.1,2231.6,2752.8
2016-03-03,2437.9,3992.8,4226.8,1648.4,946.97,1468.0,1562.6,463.85,2931.9,413.08,2036.9,331.87,2231.3,1967.8,404.53,282.7,2622.9,1235.4,1803.5,386.44,2181.3,1996.8,2312.2,3821.5,1158.4,580.73,2190.0,1904.8,2375.6,2582.5
2016-03-04,2462.4,3762.1,4178.5,1690.1,926.84,1495.9,1513.5,499.9,3017.2,401.73,2142.9,346.38,1977.3,1992.9,411.69,295.59,2601.7,1156.4,1812.7,372.27,2268.8,1956.7,2431.8,3468.7,1274.9,595.34,2523.1,1929.3,2107.6,2714.8
2016-03-05,2265.9,3812.4,4128.3,1606.1,919.47,1586.1,1577.2,431.55,2771.4,429.06,1890.6,366.37,2109.7,1797.5,423.63,268.73,2524.2,1218.3,1784.8,369.36,1967.1,1667.3,2386.9,3557.4,1172.8,611.82,2271.8,1940.1,2246.9,2638.8
2016-03-06,2511.7,3764.2,4130.8,1650.3,946.0,1504.6,1676.2,550.12,3337.1,404.79,2021.6,341.79,2136.3,1990.3,391.59,276.64,2571.6,1169.3,1773.0,362.32,2088.9,1918.5,2507.5,3344.9,1241.7,622.49,2353.6,1987.1,2258.6,2687.0
2016-03-07,2527.2,3958.3,3963.0,1599.7,936.83,1525.4,1680.8,468.32,3136.7,420.37,1882.7,363.5,2050.7,2268.3,419.64,275.16,2721.9,1243.5,1800.0,392.31,2084.9,1957.0,2418.0,3599.5,1259.3,628.98,2209.9,2084.3,2297.6,2511.4
2016-03-08,2312.2,4010.9,4128.5,1615.0,946.6,1580.6,1667.6,981.36,3003.8,453.4,1974.3,387.21,2237.1,2115.3,403.06,282.27,2763.5,1194.8,1868.8,373.93,2034.5,1904.3,2458.5,3785.7,1254.2,625.98,2472.3,1909.6,2475.8,2941.4
2016-03-09,2214.6,4183.1,3955.8,1641.2,995.3,1460.6,1761.5,873.42,3160.9,477.58,2067.7,389.33,2200.9,1990.3,402.0,256.38,2867.7,1043.4,1945.9,334.86,1966.9,1989.1,2250.8,3932.3,1144.4,664.57,2482.3,2043.1,2478.3,2982.4
2016-03-10,2104.8,3978.9,3676.9,1618.3,894.64,1489.6,1657.6,895.85,3193.5,466.01,2152.5,370.4,2447.3,2104.0,393.52,260.58,2920.9,1240.8,1833.3,374.09,2125.9,1985.5,2430.9,3552.0,1229.0,645.56,2235.0,2103.3,2550.5,3152.9
2016-03-11,2206.7,3709.5,3712.1,1508.5,908.95,1477.3,1519.7,960.89,3164.4,440.46,2176.9,390.98,2354.3,2107.7,438.99,263.01,2959.4,1155.3,1871.9,358.23,2073.1,1970.1,2406.1,3749.2,1229.5,673.1,2465.0,2082.4,2475.2,3004.2
2016-03-12,2096.9,3673.9,3947.7,1617.0,903.92,1467.2,1545.9,903.57,2996.5,422.1,2096.1,298.19,2332.8,2102.0,436.12,246.72,2790.9,1076.1,1801.2,338.34,2246.7,1749.6,2416.0,3597.6,1216.7,658.21,2575.5,2038.1,2622.9,2953.6
2016-03-13,2457.0,3849.0,3953.3,1610.1,900.66,1377.7,1656.4,582.64,3005.8,410.72,1995.1,377.97,2479.9,2031.2,472.17,228.81,2732.6,1050.6,2008.8,345.95,1984.5,1845.6,2292.5,3739.8,1245.6,637.57,2345.5,1896.7,2448.4,3014.5
2016-03-14,2277.5,3787.8,3880.5,1646.8,940.57,1466.6,1594.9,487.88,3166.1,446.01,2080.6,372.79,2529.8,2156.4,465.62,240.33,2728.9,980.98,1961.5,311.35,1930.0,2174.8,2397.5,3564.7,1262.5,628.8,2489.4,1897.0,2334.3,3244.9
2016-03-15,1925.7,3616.2,3594.2,1578.2,969.84,1491.6,1455.9,430.62,3420.3,436.35,1925.4,332.07,2590.1,2101.5,450.66,233.39,2794.4,1100.7,2007.8,380.75,2021.8,2100.0,2230.4,3776.8,1382.7,610.27,2642.4,1838.0,2415.6,3122.9
2016-03-16,2216.2,3780.9,3645.2,1645.5,950.08,1434.4,1528.3,481.93,3416.8,419.9,2004.4,369.85,2419.5,2033.4,442.12,251.71,2544.7,1060.1,1884.6,355.71,1926.4,2124.9,2305.3,3459.2,1249.7,635.46,2430.9,1891.7,2418.7,3092.5
2016-03-17,2304.7,3894.9,3870.6,1645.7,956.73,1444.6,1577.2,905.8,3220.7,427.64,2121.1,372.2,2509.8,2157.8,420.61,231.05,2573.2,991.38,1906.9,364.39,2035.9,2068.6,2212.6,3183.6,1274.2,606.01,2245.2,1815.7,2470.4,3170.6
2016-03-18,2432.8,3896.9,3913.1,1639.0,974.44,1449.2,1605.5,946.79,3346.4,456.26,2094.1,335.88,2365.3,2277.8,445.33,245.3,2497.5,1097.0,2003.1,354.29,1872.9,1940.6,2375.5,3611.2,1260.7,604.02,2377.3,1974.5,2494.0,3526.3
2016-03-19,2369.9,3663.4,3547.6,1511.5,924.41,1387.5,1693.5,992.22,3331.8,442.46,2307.5,342.05,2262.7,2329.8,442.96,226.83,2421.2,1172.6,1967.7,357.53,1912.6,2313.8,2699.5,3379.2,1438.9,638.32,2628.0,1926.9,2492.4,3737.8
2016-03-20,2413.0,3991.5,3792.7,1605.9,934.35,1477.9,1461.4,445.5,3320.8,433.27,2318.2,398.82,2261.4,2243.3,438.59,233.04,2549.0,1074.1,2068.9,391.06,1912.4,2295.9,2565.5,3813.7,1254.5,647.35,2552.1,2083.8,2491.5,3846.1
2016-03-21,2442.5,4072.6,3758.8,1718.7,925.51,1459.4,1732.2,995.84,3103.7,471.38,2109.0,323.89,2224.4,2273.7,415.94,238.04,2590.9,1075.8,1981.9,362.97,1965.9,2101.6,2666.5,3861.0,1216.8,650.96,2721.2,2174.3,2647.8,3512.9
2016-03-22,2469.6,3917.9,3781.4,1637.9,852.78,1410.5,1275.3,1074.7,2921.3,445.59,2223.0,339.91,2273.8,2439.8,377.87,249.0,2518.1,1124.5,1915.1,365.1,2027.1,2205.7,2710.4,3784.4,1345.5,642.78,2462.8,2031.3,2593.2,3677.2
2016-03-23,2298.3,3832.2,3797.2,1595.5,861.42,1349.2,1507.7,534.17,3100.1,429.16,2150.1,373.9,2251.1,2248.4,398.21,251.61,2526.8,1029.5,1910.7,361.18,2019.2,2301.3,2688.3,3759.7,1414.4,627.85,2146.9,2033.7,2504.1,3384.6
2016-03-24,2207.6,3632.4,3743.8,1635.9,860.57,1269.0,1546.8,495.26,3022.8,446.44,2087.6,318.07,2194.8,2251.8,386.12,236.83,2386.0,1136.7,1852.6,354.99,2077.8,2109.2,2467.0,3793.0,1257.1,635.73,2190.7,1923.2,2594.0,3447.0
