city,date,hour,temperature_c,pressure_mm,is_rainy,condition
Tula,2024-02-04,7,-1,747,0,clear
Tula,2024-02-04,8,-1,747,0,clear
Tula,2024-02-04,9,1,747,0,clear
Tula,2024-02-04,10,3,747,0,clear
Tula,2024-02-04,11,7,747,0,clear
Tula,2024-02-04,12,10,747,0,clear
Tula,2024-02-04,13,14,746,0,clear
Novosibirsk,2024-02-01,0,-12,756,0,overcast
Novosibirsk,2024-02-01,1,-10,757,0,overcast
Novosibirsk,2024-02-01,2,-11,756,0,cloudy
Novosibirsk,2024-02-01,3,-10,756,0,overcast
Novosibirsk,2024-02-01,4,-9,757,0,overcast
Novosibirsk,2024-02-01,5,-10,756,0,cloudy
Novosibirsk,2024-02-01,6,-10,755,1,light-snow
Novosibirsk,2024-02-01,7,-8,756,1,light-snow
Novosibirsk,2024-02-01,8,-7,755,0,overcast
Novosibirsk,2024-02-01,9,-8,755,0,overcast
Novosibirsk,2024-02-01,10,-8,756,1,light-snow
Novosibirsk,2024-02-01,11,-7,755,0,overcast
Novosibirsk,2024-02-01,12,-6,755,0,overcast
Novosibirsk,2024-02-01,13,-6,757,0,overcast
Novosibirsk,2024-02-01,14,-5,756,0,overcast
Novosibirsk,2024-02-01,15,-5,756,0,cloudy
Novosibirsk,2024-02-01,16,-5,757,0,cloudy
Novosibirsk,2024-02-01,17,-6,756,0,cloudy
Novosibirsk,2024-02-01,18,-6,756,0,overcast
Novosibirsk,2024-02-01,19,-7,757,0,overcast
Novosibirsk,2024-02-01,20,-8,756,0,overcast
Novosibirsk,2024-02-01,21,-8,756,1,light-snow
Novosibirsk,2024-02-01,22,-9,757,1,light-snow
Novosibirsk,2024-02-01,23,-9,756,1,light-snow
Novosibirsk,2024-02-02,0,-9,756,1,light-snow
Novosibirsk,2024-02-02,1,-9,757,1,light-snow
Novosibirsk,2024-02-02,2,-9,756,1,light-snow
Novosibirsk,2024-02-02,3,-8,756,1,light-snow
Novosibirsk,2024-02-02,4,-8,757,1,light-snow
Novosibirsk,2024-02-02,5,-7,756,1,light-snow
Novosibirsk,2024-02-02,6,-7,756,1,snow
Novosibirsk,2024-02-02,7,-7,757,1,snow-showers
Novosibirsk,2024-02-02,8,-7,756,1,light-snow
Novosibirsk,2024-02-02,9,-7,756,1,snow-showers
Novosibirsk,2024-02-02,10,-6,757,1,snow-showers
Novosibirsk,2024-02-02,11,-6,755,1,snow
Novosibirsk,2024-02-02,12,-5,755,1,snow
Novosibirsk,2024-02-02,13,-4,756,1,light-snow
Novosibirsk,2024-02-02,14,-4,754,1,light-snow
Novosibirsk,2024-02-02,15,-3,754,1,light-snow
Novosibirsk,2024-02-02,16,-3,755,1,snow
Novosibirsk,2024-02-02,17,-3,754,1,light-snow
Novosibirsk,2024-02-02,18,-3,754,1,light-snow
Novosibirsk,2024-02-02,19,-4,755,0,overcast
Novosibirsk,2024-02-02,20,-4,754,0,overcast
Novosibirsk,2024-02-02,21,-4,754,1,snow
Novosibirsk,2024-02-02,22,-5,755,1,snow
Novosibirsk,2024-02-02,23,-6,754,1,light-snow
Novosibirsk,2024-02-03,0,-6,754,1,snow
Novosibirsk,2024-02-03,1,-6,755,1,light-snow
Novosibirsk,2024-02-03,2,-8,754,1,light-snow
Novosibirsk,2024-02-03,3,-8,755,1,light-snow
Novosibirsk,2024-02-03,4,-9,755,1,light-snow
Novosibirsk,2024-02-03,5,-10,754,1,light-snow
Novosibirsk,2024-02-03,6,-10,754,1,light-snow
Novosibirsk,2024-02-03,7,-11,756,1,light-snow
Novosibirsk,2024-02-03,8,-12,754,1,light-snow
Novosibirsk,2024-02-03,9,-12,755,1,light-snow
Novosibirsk,2024-02-03,10,-12,756,1,light-snow
Novosibirsk,2024-02-03,11,-12,755,1,light-snow
Novosibirsk,2024-02-03,12,-11,754,1,light-snow
